    0.532280357026512211E+05    0.815926539159289588E-02    0.472510454029477722E+00    0.803636655566009606E+00    0.390708464768524877E+02    0.752770519151299444E+00    0.789530475502983387E+00   -0.432837765536032932E+20   -0.460515351937698814E+01    1
    0.737554060078441544E+05   -0.553493464523404019E-01    0.533655026180166359E+00    0.735939063381361058E+00    0.510004968407890331E+02    0.611895276127228716E+00    0.820620057762609600E+00   -0.268844885372273295E+20   -0.461515351937698259E+01    1
    0.721188704210422438E+05    0.418519149095485186E-02    0.549731769801570569E+00    0.737896163441489339E+00    0.469451984247389049E+02    0.447707845992220022E+00    0.841541161937624849E+00   -0.437393678688983040E+19   -0.462515351937698149E+01    1
    0.180615862129288362E+05   -0.841289912470407353E-01    0.452944915170508389E+00    0.759093263992317802E+00    0.424146099580117664E+02    0.578985875161574626E+00    0.979171754972054553E+00   -0.131953375505620685E+19   -0.463515351937698661E+01    1
    0.772912775832590523E+04   -0.540079505266810034E-01    0.496058262793825477E+00    0.730436651686902971E+00    0.437002367505330582E+02    0.740104599277678799E+00    0.843489676243961428E+00   -0.992821300475152256E+18   -0.464515351937698728E+01    1
    0.481361943737855199E+04    0.259258070880056257E-01    0.445507691967340524E+00    0.790349840862627939E+00    0.483344882433994982E+02    0.876492076759107563E+00    0.763523934201878918E+00   -0.956849040597565312E+18   -0.465515351937698174E+01    1
    0.204854905769226825E+05    0.526563727470476320E-01    0.546920612428337782E+00    0.804383732472703561E+00    0.417657491979389235E+02    0.459718832626123897E+00    0.104405915828542373E+01   -0.517913569458401856E+18   -0.466515351937698153E+01    1
    0.233146261085107944E+05    0.561791539762036204E-01    0.370185217882733841E+00    0.710341288551195271E+00    0.471012346025026858E+02    0.393633070053416911E+00    0.707704481426117527E+00   -0.286548565177784000E+18   -0.467515351937698398E+01    1
    0.206712077106364995E+05    0.361954717704691120E-01    0.558528213908958793E+00    0.787203563229024073E+00    0.470140904494627918E+02    0.405660021552404104E+00    0.880499224103636124E+00   -0.235306032851574816E+18   -0.468515351937698377E+01    1
    0.517896522378597874E+05   -0.482775000643797039E-01    0.477189851042583935E+00    0.753225543223567717E+00    0.399113050070293340E+02    0.214750911884335705E+00    0.130954562314353828E+01   -0.133580500448439392E+18   -0.469515351937698444E+01    1
    0.140434634839068372E+04   -0.100366372366764295E+00    0.513814962335565006E+00    0.760241602397121907E+00    0.508598449432929272E+02    0.808915755560192462E+00    0.970504958797202555E+00   -0.641706026942983280E+17   -0.470515351937698423E+01    1
    0.302905285050335851E+04   -0.157931702360628208E-01    0.494902999243802433E+00    0.757665992204790029E+00    0.451564304129169471E+02    0.580050823864976306E+00    0.100978041303453958E+01   -0.384611109992905040E+17   -0.471515351937698135E+01    1
    0.188023985660058897E+05    0.830965171311292550E-01    0.478148992772970960E+00    0.701711711536880167E+00    0.448247818139442984E+02    0.327068634799564828E+00    0.650466320767528750E+00   -0.380074583740283440E+17   -0.472515351937698025E+01    1
