Nested Sampling Global Log-Evidence           :   -0.810182857783715590E+06  +/-    0.150193936472803857E+01

Dim No.       Mean        Sigma
   1    0.375422942491976173E+02    0.169342855185294933E+00
   2    0.813000746701431964E+01    0.760229923956699943E-01
   3    0.171921485339919786E+04    0.265912152686854526E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.375924142341282845E+02
   2    0.804157403109965330E+01
   3    0.174577642803395315E+04

MAP Parameters
Dim No.        Parameter
   1    0.375924142341282845E+02
   2    0.804157403109965330E+01
   3    0.174577642803395315E+04
