    0.770654079306243657E+05    0.343129557316783149E+02    0.465699417268556815E+02    0.693185536808430310-309
    0.332944016524846666E+05    0.447033397633811376E+02    0.621037298831262152E+01    0.693185540764591799-309
    0.894128915607967429E+04    0.355064215718100655E+02    0.440911465455524194E+02    0.693185597095664274-309
    0.624372018343344243E+05    0.194536934004109803E+02    0.430376195217930047E+02    0.693186687653562682-309
    0.312201733651494578E+05    0.285957896709442139E+02    0.479995977878570557E+02    0.955546617507934570E+00
    0.312201733651494578E+05    0.285957896709442139E+02    0.479995977878570557E+02    0.955546617507934570E+00
    0.346469812455344218E+05    0.333914828300476074E+02    0.445868971943855286E+02    0.879708826541900635E+00
    0.346469812455344218E+05    0.333914828300476074E+02    0.445868971943855286E+02    0.879708826541900635E+00
    0.218585987890752403E+05    0.266176363825798035E+02    0.331931871175765991E+02    0.626515269279479980E+00
    0.268113774855514930E+05    0.299475826840171209E+02    0.407468912502513803E+02    0.693186745982636628-309
    0.231327508148591878E+05    0.305707974000143210E+02    0.344751445290541909E+02    0.693195758705934873-309
    0.274130306139829263E+05    0.248941766380164182E+02    0.404070970435632901E+02    0.693195011393780347-309
    0.117791734138873580E+05    0.199914808165274565E+02    0.403170709555512090E+02    0.693195856169276697-309
    0.239980210613525269E+05    0.332170833692820651E+02    0.355844935008554728E+02    0.693195807631556195-309
    0.846617299284751498E+05    0.302464627980652487E+02    0.420937129057649742E+02    0.693195995616103690-309
    0.826230281038232206E+05    0.451765652224396916E+02    0.359553113983051276E+02    0.693195975869841311-309
    0.401558421856504065E+05    0.554288715124130249E+01    0.492382740974426270E+02    0.983072757720947266E+00
    0.401558421856504065E+05    0.554288715124130249E+01    0.492382740974426270E+02    0.983072757720947266E+00
    0.969526777124716027E+05    0.172466579079627991E+02    0.367845362424850464E+02    0.706323027610778809E+00
    0.594254951821856448E+05    0.183231383562088013E+02    0.436169728636741638E+02    0.858154952526092529E+00
    0.594254951821856448E+05    0.183231383562088013E+02    0.436169728636741638E+02    0.858154952526092529E+00
    0.914314550269782339E+05    0.174161896109580994E+02    0.451354169845581055E+02    0.891898155212402344E+00
    0.914314550269782339E+05    0.174161896109580994E+02    0.451354169845581055E+02    0.891898155212402344E+00
    0.626850308751474513E+05    0.609247177839279175E+01    0.392019307613372803E+02    0.760042905807495117E+00
    0.626850308751474513E+05    0.609247177839279175E+01    0.392019307613372803E+02    0.760042905807495117E+00
    0.312355964128599699E+05    0.217853828750034779E+02    0.375858133502072747E+02    0.693194531210983901-309
    0.463249008966461697E+05    0.175207876031588654E+02    0.401787938861758818E+02    0.693195960327879951-309
    0.262933834572884989E+05    0.491075271368026733E+02    0.225872632861137390E+02    0.390828073024749756E+00
    0.508672341724959915E+05    0.414103838801383972E+02    0.278064584732055664E+02    0.506810188293457031E+00
    0.608454201607857322E+05    0.477996593447341311E+02    0.291797428037381934E+02    0.693186776064278016-309
    0.303252105518837743E+05    0.405917264371617819E+02    0.261839780937256954E+02    0.693195792937016231-309
    0.175530538164846621E+05    0.198718440077591367E+02    0.476469726009306669E+02    0.693196030542118023-309
    0.562104848973312255E+05    0.289494001679714934E+02    0.349372571519538653E+02    0.693196079737380612-309
    0.279424313638395943E+05    0.367841104181625838E+02    0.348329014287760117E+02    0.693196261792745104-309
    0.525727638113974972E+05    0.326903443285857662E+02    0.314021697098456904E+02    0.693197058626482697-309
