Nested Sampling Global Log-Evidence           :   -0.273489297118566466E+01  +/-    0.171800111349474260E+00

Dim No.       Mean        Sigma
   1    0.355109691889261085E+05    0.268029973112562111E+05
   2    0.263300813021838493E+02    0.128051601537627011E+02
   3    0.290704483939699223E+02    0.125968042169385850E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.401558421856504065E+05
   2    0.554288715124130249E+01
   3    0.492382740974426270E+02

MAP Parameters
Dim No.        Parameter
   1    0.401558421856504065E+05
   2    0.554288715124130249E+01
   3    0.492382740974426270E+02
