    0.160004759607982336E+02    0.200008691538500074E+03    0.500284470135992905E+02    0.269605216796755558E+07
    0.160004833967305622E+02    0.200008757298649527E+03    0.500240488723507895E+02    0.269605229557812493E+07
    0.160004127345203742E+02    0.200001067082405228E+03    0.500328663364386443E+02    0.269605270998931397E+07
    0.159999519719666168E+02    0.199956707865897471E+03    0.499849749065025364E+02    0.269605322465516208E+07
    0.159992791108276968E+02    0.199922892947420621E+03    0.500358618601096126E+02    0.269605337318202108E+07
    0.160001090687524510E+02    0.199945603577460759E+03    0.500043935839772260E+02    0.269605342250994686E+07
    0.159996389325537027E+02    0.199958067470741383E+03    0.500154932027005685E+02    0.269605665561382612E+07
    0.159996389325537027E+02    0.199958067470741383E+03    0.500154932027005685E+02    0.269605665561382612E+07
    0.159994663135591608E+02    0.199908664359818090E+03    0.500312260229626560E+02    0.269605568847635202E+07
    0.160001266019261124E+02    0.199975806401561158E+03    0.500145900311873675E+02    0.269605633209828567E+07
    0.159998486554159580E+02    0.199948048034465302E+03    0.500413120856331233E+02    0.269605633566096984E+07
    0.159999955066985304E+02    0.199979679578810703E+03    0.500167463538485819E+02    0.269605721708435006E+07
    0.159999955066985304E+02    0.199979679578810703E+03    0.500167463538485819E+02    0.269605721708435006E+07
    0.159999955066985304E+02    0.199979679578810703E+03    0.500167463538485819E+02    0.269605721708435006E+07
    0.159998317874634211E+02    0.199936144710193730E+03    0.500096606707142115E+02    0.269605626780494908E+07
    0.159999239932824544E+02    0.199976739335998872E+03    0.499997861216932904E+02    0.269605627142102597E+07
    0.159994653147021317E+02    0.199926636533768800E+03    0.500388864827961157E+02    0.269605546132287290E+07
    0.159998704410325541E+02    0.199949137970170966E+03    0.500267184448769342E+02    0.269605726866816171E+07
    0.159998704410325541E+02    0.199949137970170966E+03    0.500267184448769342E+02    0.269605726866816171E+07
    0.159998704410325541E+02    0.199949137970170966E+03    0.500267184448769342E+02    0.269605726866816171E+07
    0.160000943990894413E+02    0.199980684776150724E+03    0.500321042862643992E+02    0.269605626086687343E+07
    0.159998314554858165E+02    0.199966040917678868E+03    0.500323619211183939E+02    0.269605708693405008E+07
    0.159998314554858165E+02    0.199966040917678868E+03    0.500323619211183939E+02    0.269605708693405008E+07
    0.159998314554858165E+02    0.199966040917678868E+03    0.500323619211183939E+02    0.269605708693405008E+07
    0.159997656026527224E+02    0.199952827406934205E+03    0.500154488926599896E+02    0.269605743365372997E+07
    0.159997656026527224E+02    0.199952827406934205E+03    0.500154488926599896E+02    0.269605743365372997E+07
    0.159997656026527224E+02    0.199952827406934205E+03    0.500154488926599896E+02    0.269605743365372997E+07
    0.159997656026527224E+02    0.199952827406934205E+03    0.500154488926599896E+02    0.269605743365372997E+07
    0.159999824289406849E+02    0.199980726766147257E+03    0.500221742596002059E+02    0.269605720030134544E+07
