    0.750700310116089398E+00    0.450031991344892148E+02   -0.198647423359410663E-03   -0.180859643648285560E-03    0.999753928804104630E+00    0.199861582458872022E+01    0.499541258492874340E+00    0.299912962419592510E+02    0.499776326750031501E+02    0.499720345216779077E-01    0.509851824171416140E-04   -0.874496501097328884E-04    0.160002955411193994E+02    0.499208084556073839E+01    0.199998616216906612E+03    0.500118462502275634E+02   -0.428033749254069553E+05
    0.750182593565095646E+00    0.449633055977278389E+02   -0.619113354490929388E-04    0.120069654436096127E-03    0.100000846040296687E+01    0.199998660210485202E+01    0.500180513028796292E+00    0.300128100321669535E+02    0.500178237522148237E+02    0.500802307765305446E-01   -0.493321432420825643E-04    0.209177990620518049E-03    0.160003339602178087E+02    0.500365078430943022E+01    0.200244877508460945E+03    0.499285970027364527E+02   -0.428015300102867914E+05
    0.750774692306709124E+00    0.449944204440475914E+02   -0.817933592796410392E-04   -0.352439248055700971E-04    0.999798247196207912E+00    0.199871842783076170E+01    0.499603545839243435E+00    0.300065008103754529E+02    0.500113733605080952E+02    0.499737202949425349E-01    0.190309636269349630E-04    0.259020348533827298E-04    0.160009400478318149E+02    0.499211084994026866E+01    0.200018515449340384E+03    0.500075019661839946E+02   -0.427999294160340360E+05
    0.750522676423604596E+00    0.450426759499698193E+02   -0.120043824962897327E-03    0.112840935096564956E-03    0.999850445183789738E+00    0.200002056052298416E+01    0.500027940871328735E+00    0.299798761452352522E+02    0.500064347984653708E+02    0.501437416589154694E-01    0.531447787679837800E-05    0.488173201819616632E-04    0.159998079397173800E+02    0.500076530304056277E+01    0.200343318076973816E+03    0.499378398113393374E+02   -0.427989019250248821E+05
    0.750067808902368016E+00    0.449836693066603317E+02   -0.252541693533730939E-03    0.218493174655578435E-03    0.100002040711433993E+01    0.199995692964023841E+01    0.499958650682816697E+00    0.299721688014537797E+02    0.499741355404184873E+02    0.501091733364815994E-01   -0.101121761088574511E-03    0.817226673743779163E-04    0.159999215880534074E+02    0.499906715496346177E+01    0.200272267700408150E+03    0.499116417152561667E+02   -0.427977060931135638E+05
    0.750276973103221279E+00    0.449912815097107384E+02   -0.302137654401506844E-03    0.367095288882541188E-04    0.999979951762308250E+00    0.199978009517614330E+01    0.499692126244113355E+00    0.299636282053839231E+02    0.499805761814969145E+02    0.500229235720684104E-01   -0.980243430166045769E-04    0.281569941630317638E-04    0.160003099306288057E+02    0.499545924543626452E+01    0.200229665705833213E+03    0.499456829255449648E+02   -0.427975320031659649E+05
    0.750156972261091015E+00    0.449958570099080006E+02   -0.454684349157602041E-04   -0.203873516966353119E-04    0.100001705880757008E+01    0.200010791655266207E+01    0.500260340203566689E+00    0.300084715696175870E+02    0.500281934278092280E+02    0.501088292791283738E-01    0.216826171294235761E-04    0.996409036724137695E-04    0.160004817571974129E+02    0.500343254972969209E+01    0.200165883171547080E+03    0.499416645967132453E+02   -0.427972300086601317E+05
    0.750299505747479722E+00    0.449875310714115955E+02   -0.280203221858979078E-03   -0.161294448352657746E-04    0.999915807543977575E+00    0.199983119529143094E+01    0.499706761920093334E+00    0.299665590609302441E+02    0.500173274220942545E+02    0.500486111767799169E-01   -0.911591340112904807E-04    0.650208267210597039E-04    0.160001271154293363E+02    0.499624958562052868E+01    0.200357511962063285E+03    0.499453884233689678E+02   -0.427969063542527874E+05
    0.749978690918638558E+00    0.449912049040819255E+02   -0.209574203941280716E-03   -0.398492327271374720E-04    0.999999739226227646E+00    0.200030630960745803E+01    0.500094444086276346E+00    0.299568211315411581E+02    0.499998741970967799E+02    0.501078150147879209E-01   -0.747304939116613914E-04    0.703596904348796435E-05    0.159998431287062708E+02    0.500238927800696676E+01    0.200298701710114557E+03    0.499005849340461793E+02   -0.427968239763657766E+05
    0.749939983832661472E+00    0.450051605819022456E+02   -0.228817642664291550E-03    0.364530021189025044E-04    0.999986289035707632E+00    0.200017007025450289E+01    0.500021432512378849E+00    0.299874864103453938E+02    0.499947655342824291E+02    0.500351446635340924E-01   -0.270102300638040440E-04    0.446961839214952893E-04    0.160006469227863555E+02    0.500129010606418056E+01    0.200139091880551689E+03    0.499748902325473168E+02   -0.427956413327337505E+05
